#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
323	IPR007081	RNA polymerase Rpb1, domain 5	HMMPfam	PF04998	RNA_pol_Rpb1_5	1	851,	1382,	1.4e-123
323	IPR007083	RNA polymerase Rpb1, domain 4	HMMPfam	PF05000	RNA_pol_Rpb1_4	1	738,	844,	8.9e-39
323	IPR006592	RNA polymerase, N-terminal	HMMSmart	SM00663	no description	1	261,	563,	5e-165
329	IPR010291	Protein of unknown function DUF895, eukaryotic	HMMPfam	PF05978	DUF895	1	53,	188,	0.002
329	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	1,	450,	1.5e-12
331	IPR015798	Copper amine oxidase, C-terminal	HMMPfam	PF01179	Cu_amine_oxid	1	227,	642,	3.1e-168
331	IPR015800	Copper amine oxidase, N2-terminal	HMMPfam	PF02727	Cu_amine_oxidN2	1	2,	94,	1.4e-08
331	IPR015802	Copper amine oxidase, N3-terminal	HMMPfam	PF02728	Cu_amine_oxidN3	1	100,	159,	7e-05
331	IPR000269	Copper amine oxidase	ScanRegExp	PS01164	COPPER_AMINE_OXID_1	1	378,	391,	8e-5
331	IPR015798	Copper amine oxidase, C-terminal	superfamily	SSF49998	Amine oxidase catalytic domain	1	218,	648,	1.4e-148
331	IPR016182	Copper amine oxidase, N-terminal region	superfamily	SSF54416	Amine oxidase N-terminal region	2	1,102,	100,229,	6.6e-22,9.3e-33
361	IPR013216	Methyltransferase type 11	HMMPfam	PF08241	Methyltransf_11	1	132,	230,	2.9e-26
361	IPR013705	Sterol methyltransferase C-terminal	HMMPfam	PF08498	Sterol_MT_C	1	239,	376,	1.1e-87
370	IPR013149	Alcohol dehydrogenase, zinc-binding	HMMPfam	PF00107	ADH_zinc_N	1	156,	244,	2e-10
370	IPR013154	Alcohol dehydrogenase GroES-like	HMMPfam	PF08240	ADH_N	1	28,	114,	8.4e-09
370	IPR011032	GroES-like	superfamily	SSF50129	GroES-like	1	4,	167,	4e-33
370	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	118,	244,	1.1e-21
413	IPR013032	EGF-like region, conserved site	ScanRegExp	PS01186	EGF_2	1	45,	60,	NA
430	IPR000639	Epoxide hydrolase-like	FPrintScan	PR00412	EPOXHYDRLASE	3	46,114,285,	64,127,307,	1.4e-05,1.4e-05,1.4e-05
430	IPR000073	Alpha/beta hydrolase fold-1	HMMPfam	PF00561	Abhydrolase_1	1	66,	142,	1e-11
438	IPR002190	MAGE protein	HMMPfam	PF01454	MAGE	1	62,	261,	1e-48
438	IPR002190	MAGE protein	ProfileScan	PS50838	MAGE	1	55,	270,	11.015
441	IPR011701	Major facilitator superfamily MFS-1	HMMPfam	PF07690	MFS_1	1	16,	409,	2.1e-38
441	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	12,	441,	20.735
441	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	1,	452,	8.3e-44
451	IPR000679	Zinc finger, GATA-type	FPrintScan	PR00619	GATAZNFINGER	2	763,781,	780,798,	9.2e-10,9.2e-10
451	IPR000679	Zinc finger, GATA-type	HMMPfam	PF00320	GATA	1	767,	801,	6.9e-20
451	IPR000679	Zinc finger, GATA-type	HMMSmart	SM00401	no description	1	761,	811,	1.2e-23
451	IPR000679	Zinc finger, GATA-type	ProfileScan	PS50114	GATA_ZN_FINGER_2	1	761,	814,	27.088
451	IPR000679	Zinc finger, GATA-type	ScanRegExp	PS00344	GATA_ZN_FINGER_1	1	767,	791,	8e-5
463	IPR013126	Heat shock protein 70	BlastProDom	PD000089	Q7SHW2_NEUCR_Q7SHW2;	1	109,	169,	1e-14
463	IPR001023	Heat shock protein Hsp70	FPrintScan	PR00301	HEATSHOCK70	5	17,45,67,156,385,	30,57,75,176,405,	1.1e-12,1.1e-12,1.1e-12,1.1e-12,1.1e-12
463	IPR013126	Heat shock protein 70	HMMPfam	PF00012	HSP70	1	138,	356,	1.5e-32
486	IPR000719	Protein kinase, core	BlastProDom	PD000001	Q944I6_ARATH_Q944I6;	2	428,703,	619,758,	5e-91,0.0006
486	IPR017442	Serine/threonine protein kinase-related	HMMPfam	PF00069	Pkinase	1	427,	759,	7.6e-66
486	IPR001245	Tyrosine protein kinase	HMMSmart	SM00219	no description	1	427,	757,	9.9e-06
486	IPR002290	Serine/threonine protein kinase	HMMSmart	SM00220	no description	1	427,	759,	8.9e-59
486	IPR000719	Protein kinase, core	ProfileScan	PS50011	PROTEIN_KINASE_DOM	1	427,	759,	37.616
486	IPR017441	Protein kinase ATP binding, conserved site	ScanRegExp	PS00107	PROTEIN_KINASE_ATP	1	433,	456,	NA
486	IPR008271	Serine/threonine protein kinase, active site	ScanRegExp	PS00108	PROTEIN_KINASE_ST	1	546,	558,	NA
486	IPR011009	Protein kinase-like	superfamily	SSF56112	Protein kinase-like (PK-like)	1	412,	790,	7.1e-62
498	IPR013901	Protein of unknown function DUF1772, fungi	HMMPfam	PF08592	DUF1772	1	84,	158,	6.5e-14
592	IPR010308	Protein of unknown function DUF907, fungi	HMMPfam	PF06011	TRP	1	1,	630,	1.1e-281
592	IPR011071	Polysaccharide lyase family 8-like, C-terminal	superfamily	SSF49863	Hyaluronate lyase-like, C-terminal domain	1	144,	262,	0.013
601	IPR006172	DNA-directed DNA polymerase, family B	FPrintScan	PR00106	DNAPOLB	3	1061,1170,1226,	1074,1182,1234,	1.2e-09,1.2e-09,1.2e-09
601	IPR006134	DNA-directed DNA polymerase, family B, conserved region	HMMPfam	PF00136	DNA_pol_B	1	1009,	1448,	4.1e-118
601	IPR006133	DNA-directed DNA polymerase, family B, exonuclease	HMMPfam	PF03104	DNA_pol_B_exo	1	41,	935,	0.00018
601	IPR006172	DNA-directed DNA polymerase, family B	HMMSmart	SM00486	no description	1	752,	1240,	8.3e-92
601	IPR006172	DNA-directed DNA polymerase, family B	ScanRegExp	PS00116	DNA_POLYMERASE_B	1	1228,	1236,	8e-5
601	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	16,	1008,	2.3e-79
601	IPR011011	Zinc finger, FYVE/PHD-type	superfamily	SSF57903	FYVE/PHD zinc finger	1	1478,	1540,	0.00037
618	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	HMMPfam	PF00732	GMC_oxred_N	1	7,	293,	2.8e-38
618	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	HMMPfam	PF05199	GMC_oxred_C	1	376,	518,	2.8e-32
618	IPR012132	Glucose-methanol-choline oxidoreductase	HMMPIR	PIRSF000137	Alcohol oxidase	1	1,	529,	6e-85
618	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	ScanRegExp	PS00624	GMC_OXRED_2	1	238,	252,	8e-5
619	IPR014895	Alginate lyase 2	HMMPfam	PF08787	Alginate_lyase2	1	33,	242,	3.4e-23
619	IPR008985	Concanavalin A-like lectin/glucanase	superfamily	SSF49899	Concanavalin A-like lectins/glucanases	1	33,	242,	1.4e-23
625	IPR001128	Cytochrome P450	FPrintScan	PR00385	P450	4	294,345,430,439,	311,356,439,450,	9.8e-08,9.8e-08,9.8e-08,9.8e-08
625	IPR002403	Cytochrome P450, E-class, group IV	FPrintScan	PR00465	EP450IV	4	52,340,423,439,	75,356,439,457,	6e-11,6e-11,6e-11,6e-11
625	IPR001128	Cytochrome P450	HMMPfam	PF00067	p450	1	291,	469,	1e-29
625	IPR001128	Cytochrome P450	superfamily	SSF48264	Cytochrome P450	1	29,	489,	7.8e-70
628	IPR011008	Dimeric alpha-beta barrel	superfamily	SSF54909	Dimeric alpha+beta barrel	1	410,	454,	0.0061
648	IPR014850	Signal transduction response regulator, pH-responsive, PalI/Rim9	HMMPfam	PF08739	PalI	1	24,	168,	1.9e-57
661	IPR006094	FAD linked oxidase, N-terminal	HMMPfam	PF01565	FAD_binding_4	1	200,	339,	2.1e-48
661	IPR004113	FAD-linked oxidase, C-terminal	HMMPfam	PF02913	FAD-oxidase_C	1	375,	620,	5e-69
661	IPR016164	FAD-linked oxidase-like, C-terminal	superfamily	SSF55103	FAD-linked oxidases, C-terminal domain	1	374,	619,	9.5e-57
661	IPR016166	FAD-binding, type 2	superfamily	SSF56176	FAD-binding domain	1	147,	376,	8.9e-66
674	IPR010987	Glutathione S-transferase, C-terminal-like	superfamily	SSF47616	Glutathione S-transferase (GST), C-terminal domain	1	161,	252,	9.7e-06
674	IPR012336	Thioredoxin-like fold	superfamily	SSF52833	Thioredoxin-like	1	7,	99,	1.6e-08
677	IPR011545	DNA/RNA helicase, DEAD/DEAH box type, N-terminal	HMMPfam	PF00270	DEAD	1	73,	244,	2.5e-49
677	IPR001650	DNA/RNA helicase, C-terminal	HMMPfam	PF00271	Helicase_C	1	312,	388,	4.6e-30
677	IPR014001	DEAD-like helicase, N-terminal	HMMSmart	SM00487	no description	1	68,	271,	3.1e-48
677	IPR001650	DNA/RNA helicase, C-terminal	HMMSmart	SM00490	no description	1	307,	388,	3.8e-28
677	IPR014021	Helicase, superfamily 1 and 2, ATP-binding	ProfileScan	PS51192	HELICASE_ATP_BIND_1	1	80,	255,	24.247
677	IPR001650	DNA/RNA helicase, C-terminal	ProfileScan	PS51194	HELICASE_CTER	1	267,	428,	21.912
677	IPR014014	RNA helicase, DEAD-box type, Q motif	ProfileScan	PS51195	Q_MOTIF	1	49,	77,	10.065
678	IPR013922	Cyclin-related 2	HMMPfam	PF08613	Cyclin	1	126,	264,	1.2e-07
678	IPR011028	Cyclin-like	superfamily	SSF47954	Cyclin-like	1	126,	266,	1.6e-06
698	IPR007259	Spc97/Spc98	HMMPfam	PF04130	Spc97_Spc98	1	184,	822,	2.9e-05
729	IPR000330	SNF2-related	HMMPfam	PF00176	SNF2_N	1	390,	762,	2.9e-35
729	IPR001650	DNA/RNA helicase, C-terminal	HMMPfam	PF00271	Helicase_C	1	961,	1039,	1.6e-21
729	IPR014001	DEAD-like helicase, N-terminal	HMMSmart	SM00487	no description	1	383,	660,	1.5e-23
729	IPR001650	DNA/RNA helicase, C-terminal	HMMSmart	SM00490	no description	1	956,	1039,	1.3e-19
729	IPR014021	Helicase, superfamily 1 and 2, ATP-binding	ProfileScan	PS51192	HELICASE_ATP_BIND_1	1	440,	648,	16.350
729	IPR001650	DNA/RNA helicase, C-terminal	ProfileScan	PS51194	HELICASE_CTER	1	923,	1085,	14.074
729	IPR001841	Zinc finger, RING-type	ScanRegExp	PS00518	ZF_RING_1	1	843,	852,	8e-5
757	IPR001940	Peptidase S1C, HrtA/DegP2/Q/S	FPrintScan	PR00834	PROTEASES2C	5	119,141,185,225,342,	131,161,209,242,354,	2.3e-13,2.3e-13,2.3e-13,2.3e-13,2.3e-13
757	IPR001254	Peptidase S1 and S6, chymotrypsin/Hap	HMMPfam	PF00089	Trypsin	1	88,	278,	0.001
757	IPR001478	PDZ/DHR/GLGF	HMMPfam	PF00595	PDZ	1	295,	380,	5.4e-05
757	IPR001478	PDZ/DHR/GLGF	superfamily	SSF50156	PDZ domain-like	2	273,877,	400,957,	2.2e-11,5.5e-07
757	IPR009003	Peptidase, trypsin-like serine and cysteine	superfamily	SSF50494	Trypsin-like serine proteases	2	77,514,	286,762,	3e-45,2e-31
758	IPR005061	Protein of unknown function DUF292, eukaryotic	HMMPfam	PF03398	DUF292	1	17,	136,	4.4e-39
823	IPR000626	Ubiquitin	HMMPfam	PF00240	ubiquitin	1	213,	274,	0.00011
830	IPR002198	Short-chain dehydrogenase/reductase SDR	ScanRegExp	PS00061	ADH_SHORT	1	537,	565,	NA
844	IPR001951	Histone H4	BlastProDom	PD001827	H4_SCHPO_P09322;	1	43,	115,	8e-24
844	IPR001951	Histone H4	FPrintScan	PR00623	HISTONEH4	6	20,34,54,76,91,103,	31,53,74,90,103,114,	2.2e-38,2.2e-38,2.2e-38,2.2e-38,2.2e-38,2.2e-38
844	IPR007125	Histone core	HMMPfam	PF00125	Histone	1	39,	108,	1.2e-11
844	IPR001951	Histone H4	HMMSmart	SM00417	no description	1	30,	104,	3.6e-14
844	IPR009072	Histone-fold	superfamily	SSF47113	Histone-fold	1	22,	115,	1.9e-19
861	IPR001452	Src homology-3	HMMPfam	PF00018	SH3_1	1	801,	860,	0.0021
861	IPR001452	Src homology-3	superfamily	SSF50044	SH3-domain	1	767,	858,	4e-08
867	IPR001810	Cyclin-like F-box	HMMPfam	PF00646	F-box	1	2,	49,	7.6e-08
867	IPR001810	Cyclin-like F-box	HMMSmart	SM00256	no description	1	7,	48,	0.00054
867	IPR001810	Cyclin-like F-box	ProfileScan	PS50181	FBOX	1	1,	52,	12.597
883	IPR001453	Molybdopterin binding	BlastProDom	PD002460	O30076_ARCFU_O30076;	1	18,	84,	0.001
883	IPR001453	Molybdopterin binding	HMMPfam	PF00994	MoCF_biosynth	1	13,	109,	1.3e-32
883	IPR001453	Molybdopterin binding	superfamily	SSF53218	Molybdenum cofactor biosynthesis proteins	1	8,	228,	6.3e-37
894	IPR000687	RIO kinase	HMMPfam	PF01163	RIO1	1	109,	299,	2.8e-48
894	IPR015285	RIO2 kinase, winged helix, N-terminal	HMMPfam	PF09202	Rio2_N	1	8,	92,	3.9e-49
894	IPR000687	RIO kinase	HMMSmart	SM00090	no description	1	67,	310,	2.3e-48
894	IPR011009	Protein kinase-like	superfamily	SSF56112	Protein kinase-like (PK-like)	1	95,	286,	5.8e-24
909	IPR001680	WD40 repeat	HMMPfam	PF00400	WD40	3	16,249,377,	54,291,415,	0.00017,0.00013,0.0062
909	IPR001680	WD40 repeat	HMMSmart	SM00320	no description	4	14,60,248,376,	54,102,291,415,	0.00026,3.1,0.28,0.11
909	IPR001680	WD40 repeat	ProfileScan	PS50082	WD_REPEATS_2	1	22,	54,	9.506
909	IPR001680	WD40 repeat	ProfileScan	PS50294	WD_REPEATS_REGION	1	22,	111,	10.153
909	IPR011046	WD40 repeat-like	superfamily	SSF50978	WD40 repeat-like	1	23,	415,	2.3e-24
931	IPR004911	Gamma interferon inducible lysosomal thiol reductase GILT	HMMPfam	PF03227	GILT	1	68,	166,	4.8e-09
939	IPR008258	Lytic transglycosylase-like, catalytic	HMMPfam	PF01464	SLT	1	91,	198,	7.2e-10
948	IPR016042	Protein import receptor MAS20, conserved region	FPrintScan	PR00351	OM20RECEPTOR	4	4,22,40,79,	18,39,52,99,	8.8e-21,8.8e-21,8.8e-21,8.8e-21
948	IPR002056	Protein import receptor MAS20	HMMPfam	PF02064	MAS20	1	1,	201,	3.5e-54
948	IPR002056	Protein import receptor MAS20	HMMPIR	PIRSF037707	Mitochondrial import receptor, TOM20 subunit	1	1,	201,	5.2e-70
948	IPR002056	Protein import receptor MAS20	superfamily	SSF47157	Mitochondrial import receptor subunit Tom20	2	70,130,	102,192,	2.4e-05,1.3e-11
967	IPR002097	Profilin/allergen	FPrintScan	PR00392	PROFILIN	5	3,18,65,100,113,	12,27,79,113,130,	2e-12,2e-12,2e-12,2e-12,2e-12
967	IPR002097	Profilin/allergen	HMMPfam	PF00235	Profilin	1	2,	126,	1.7e-33
967	IPR002097	Profilin/allergen	HMMSmart	SM00392	no description	1	1,	131,	1.6e-34
967	IPR002097	Profilin/allergen	superfamily	SSF55770	Profilin (actin-binding protein)	1	2,	131,	3.5e-34
975	IPR001185	Large-conductance mechanosensitive channel	BlastProDom	PD007253	Q9P639_NEUCR_Q9P639;	1	41,	82,	5e-10
975	IPR001185	Large-conductance mechanosensitive channel	HMMPfam	PF01741	MscL	1	37,	177,	2.7e-09
975	IPR001185	Large-conductance mechanosensitive channel	superfamily	SSF81330	Gated mechanosensitive channel	1	46,	176,	7.2e-21
980	IPR004839	Aminotransferase, class I and II	HMMPfam	PF00155	Aminotran_1_2	1	31,	393,	5.6e-82
980	IPR005861	Histidinol-phosphate aminotransferase	HMMTigr	TIGR01141	hisC: histidinol-phosphate aminotransferase	1	11,	396,	1.8e-117
980	IPR001917	Aminotransferase, class-II, pyridoxal-phosphate binding site	ScanRegExp	PS00599	AA_TRANSFER_CLASS_2	1	242,	251,	8e-5
980	IPR015424	Pyridoxal phosphate-dependent transferase, major region	superfamily	SSF53383	PLP-dependent transferases	1	1,	398,	1.1e-68
995	IPR000719	Protein kinase, core	BlastProDom	PD000001	Q75Q66_GLOLA_Q75Q66;	1	20,	235,	2e-123
995	IPR017442	Serine/threonine protein kinase-related	HMMPfam	PF00069	Pkinase	1	20,	299,	2e-94
995	IPR001245	Tyrosine protein kinase	HMMSmart	SM00219	no description	1	20,	299,	1.7e-12
995	IPR002290	Serine/threonine protein kinase	HMMSmart	SM00220	no description	1	20,	299,	4.6e-97
995	IPR000719	Protein kinase, core	ProfileScan	PS50011	PROTEIN_KINASE_DOM	1	20,	299,	47.750
995	IPR017441	Protein kinase ATP binding, conserved site	ScanRegExp	PS00107	PROTEIN_KINASE_ATP	1	26,	50,	8e-5
995	IPR008271	Serine/threonine protein kinase, active site	ScanRegExp	PS00108	PROTEIN_KINASE_ST	1	137,	149,	8e-5
995	IPR003527	MAP kinase, conserved site	ScanRegExp	PS01351	MAPK	1	55,	153,	8e-5
995	IPR011009	Protein kinase-like	superfamily	SSF56112	Protein kinase-like (PK-like)	1	11,	346,	2.7e-94
1003	IPR002198	Short-chain dehydrogenase/reductase SDR	FPrintScan	PR00080	SDRFAMILY	3	91,144,164,	102,152,183,	1.8e-12,1.8e-12,1.8e-12
1003	IPR002347	Glucose/ribitol dehydrogenase	FPrintScan	PR00081	GDHRDH	5	315,384,431,457,478,	332,395,447,476,495,	4.1e-25,4.1e-25,4.1e-25,4.1e-25,4.1e-25
1003	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	adh_short	2	10,314,	183,476,	4.1e-32,1.2e-33
1003	IPR002539	MaoC-like dehydratase	HMMPfam	PF01575	MaoC_dehydratas	1	772,	888,	6.3e-41
1003	IPR002198	Short-chain dehydrogenase/reductase SDR	ScanRegExp	PS00061	ADH_SHORT	1	151,	179,	8e-5
1003	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	2	3,312,	245,537,	7.1e-55,1.6e-60
1010	IPR000878	Tetrapyrrole methylase	HMMPfam	PF00590	TP_methylase	1	1,	208,	5.7e-27
1010	IPR004551	Diphthine synthase	HMMPIR	PIRSF036432	Diphthine synthase	1	1,	275,	1e-175
